what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to get nature of project 'trilead'.",1271990519102
error,log,,,"Unable to get nature of project 'trilead'.",1271990519103
error,log,,,"Unable to get nature of project 'trilead'.",1271990519104
error,log,,,"Unable to get nature of project 'trilead'.",1271990519105
error,log,,,"Unable to get nature of project 'trilead'.",1271990519106
error,log,,,"Unable to get nature of project 'trilead'.",1271990519106
error,log,,,"Unable to get nature of project 'trilead'.",1271990519107
error,log,,,"Unable to get nature of project 'trilead'.",1271990519108
error,log,,,"Unable to get nature of project 'trilead'.",1271990519120
error,log,,,"Unable to get nature of project 'trilead'.",1271990519122
error,log,,,"Unable to get nature of project 'trilead'.",1271990519122
error,log,,,"Unable to get nature of project 'trilead'.",1271990519123
error,log,,,"Unable to get nature of project 'trilead'.",1271990519124
error,log,,,"Unable to get nature of project 'trilead'.",1271990519125
error,log,,,"Unable to get nature of project 'trilead'.",1271990519131
error,log,,,"Unable to get nature of project 'trilead'.",1271990519133
error,log,,,"Unable to get nature of project 'trilead'.",1271990519134
error,log,,,"Unable to get nature of project 'trilead'.",1271990519134
error,log,,,"Unable to get nature of project 'trilead'.",1271990519135
error,log,,,"Unable to get nature of project 'trilead'.",1271990519135
error,log,,,"Unable to get nature of project 'trilead'.",1271990519136
error,log,,,"Unable to get nature of project 'trilead'.",1271990519136
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990522564
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990653778
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990659114
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990682350
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1271990682393
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1271990682393
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990690295
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990713534
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990723746
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990743085
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271990747573
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990762807
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271990777134
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271990780008
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990781631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990791544
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990793350
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271990793425
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271990796009
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990798372
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990813843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990819410
error,log,,,"Internal Error",1271990821619
error,log,,,"Problems encountered while deleting resources.",1271990821631
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990829226
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271990829283
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990835346
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990840721
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990843187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990844595
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271990844647
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271990848610
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990852718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990857538
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271990857593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990858679
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990859759
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990863238
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990870827
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990872563
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271990888810
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1271990896693
